Times	XFX-Tank-base 3.3	HX-TANK-base2.9	XJ-R1-Ñ¹Á¦	XJ-R2-Ñ¹Á¦	J-PTHC02A_P	J-HCXZ01Z_P	J-PTHC04A_P	J-PTHC05A_P	J-PTHC01A_P
106:05:00	2.058888912	3.399555922	1.390164971	4.201399803	22.32263184	23.31978035	22.96534348	23.21333504	21.29728508
106:10:00	2.058888912	3.399555922	1.387356639	4.213365555	23.02132797	23.92578506	23.66120911	23.81586647	21.98490524
106:15:00	2.058888912	3.399555922	1.371207356	4.221996307	22.20998192	22.92759323	22.8116169	22.82510757	21.11071205
106:20:00	2.058888912	3.399555922	1.362482429	4.229354858	21.36197472	22.58162117	21.96859741	22.25258827	20.29123116
106:25:00	2.058888912	3.399555922	1.362445235	4.237325668	22.79033852	24.0201149	23.41724396	23.63257027	21.72498894
106:30:00	2.058888912	3.399555922	1.347577572	4.248233318	22.88259888	24.09702301	23.50313759	23.72771835	21.80371857
106:35:00	2.058888912	3.399555922	1.356753945	4.257464886	22.98997498	24.342453	23.60946465	23.94092751	21.90667534
106:40:00	2.058888912	3.399555922	1.349970222	4.268766403	22.15054512	23.29868317	22.7422924	22.91539764	21.00697708
106:45:00	2.058888912	3.399555922	1.337979317	4.281496048	21.85629272	23.02930641	22.46546936	22.65613937	20.7286911
106:50:00	2.058888912	3.399555922	1.323626757	4.290635586	22.13384819	23.3249588	22.75548553	22.95367622	21.04167938
106:55:00	2.058888912	3.399555922	1.318180561	4.305593014	22.74121475	23.95774651	23.3502636	23.558918	21.6172142
107:00:00	2.058888912	3.399555922	1.307175636	4.32000351	23.0312767	24.24080849	23.66030121	23.84470558	21.93176842
107:05:00	2.058888912	3.399555922	1.298903227	4.333825588	22.83399391	24.07222176	23.45046997	23.68626213	21.74030876
107:10:00	2.058888912	3.39955616	1.287257552	4.347157478	22.78310204	23.86164665	23.38439369	23.49800301	21.64428329
107:15:00	2.058888912	3.39955616	1.271579146	4.359264851	22.59556007	23.75710297	23.2078476	23.39722061	21.49769592
